visa,country,sum
Student,Saudi Arabia,4806
Student,Serbia,278
Student,Singapore,5662
Student,Solomon Islands,940
Student,South Africa,27046
Student,Spain,750
Student,Sri Lanka,12436
Student,Sweden,840
Student,Switzerland,752
Student,TOTAL,704904
Student,Taiwan,3640
Student,Tanzania,214
Student,Thailand,14528
Student,The Americas,33928
Student,Tonga,4362
Student,Turkey,538
Student,United Arab Emirates,3472
Student,United Kingdom,19036
Student,United States of America,10598
Student,Uruguay,244
Student,Vietnam,14720
Student,Zambia,314
Student,Zimbabwe,1552
TOTAL,Afghanistan,6802
TOTAL,Africa and the Middle East,384595
TOTAL,Algeria,413
TOTAL,Andorra,138
TOTAL,Angola,208
TOTAL,Anguilla,85
TOTAL,Argentina,26766
TOTAL,Asia,1849424
TOTAL,Australia,890629
TOTAL,Austria,7542
TOTAL,Bahamas,247
TOTAL,Bahrain,3273
TOTAL,Bangladesh,8247
TOTAL,Belarus,618
TOTAL,Belgium,6377
TOTAL,Bermuda,866
TOTAL,Bhutan,422
TOTAL,Bolivia,771
TOTAL,Bosnia and Herzegovina,299
TOTAL,Botswana,2072
TOTAL,Brazil,41772
TOTAL,Brunei Darussalam,3519
TOTAL,Bulgaria,1648
TOTAL,Burkina Faso,98
TOTAL,Cambodia,13423
TOTAL,Canada,73639
TOTAL,Cayman Islands,901
TOTAL,Chad,166
TOTAL,Chile,27095
TOTAL,China,486073
TOTAL,Colombia,8156
TOTAL,Cook Islands,23730
TOTAL,Costa Rica,579
TOTAL,Cote d'Ivoire,57
TOTAL,Croatia,1770
TOTAL,Cuba,326
TOTAL,Cyprus,1000
TOTAL,Czechia,15317
TOTAL,Czechoslovakia,492
TOTAL,Denmark,5987
TOTAL,Dominica,95
TOTAL,Ecuador,3482
TOTAL,Egypt,4730
TOTAL,Ethiopia,3525
TOTAL,Europe,984331
TOTAL,Fiji,150719
TOTAL,Finland,2910
TOTAL,France,43550
TOTAL,French Polynesia,6266
TOTAL,Gaza Strip/Palestine/West Bank,430
TOTAL,Georgia,237
TOTAL,Germany,59142
TOTAL,Ghana,1450
TOTAL,Gibraltar,151
TOTAL,Greece,2161
TOTAL,Hong Kong (Special Administrative Region),41257
TOTAL,Hungary,4260
TOTAL,Iceland,845
TOTAL,India,444342
TOTAL,Indonesia,29762
TOTAL,Iran,9555
TOTAL,Iraq,4351
TOTAL,Ireland,41774
